Angle (degrees),Phase Function (normalized to 1 at 30 deg),Phase Function SEM,DOLP (%),DOLP SEM (%)
20,2.6833899310179,0.0409704496295942,-1.32314596183929,0.267101541201877
25,1.49770178018939,0.0186153735968862,-1.53607028627704,0.584956053921934
30,1,0,-1.64899399874582,0.61222450892204
35,0.721718269276327,0.00621453379678016,-1.0348586353241,1.31352645512255
40,0.544950065616356,0.00830121159574436,-2.20859184872399,1.10448543920669
45,0.434113454518923,0.00347942890786664,-2.70002475472162,0.987447256316866
50,0.339910359983391,0.00457551566633919,-3.06202896286196,0.392534867520788
55,0.271961006922716,0.00439271063303636,0.259920232797603,0.498800365462658
60,0.218754207170873,0.00803327071504177,2.29636394581758,0.783025769448601
65,0.178977427463784,0.00976702956975144,4.54393994910792,1.22410298287388
70,0.156772195991146,0.00822051697832814,7.58912823859372,1.69698489396227
75,0.14079413297832,0.00908576848355486,11.6659360320897,1.90332379485415
80,0.134227254166902,0.00934130312084575,12.7269547648123,2.10106518823635
85,0.126971602788277,0.00754518351556837,14.9988682939413,2.08694045792318
90,0.121210814082205,0.00534225899242406,13.3536397263595,1.27133696079085
95,0.118990751227204,0.00659037475695976,12.2028228243284,2.42283503303785
100,0.118007495767846,0.00686907290707918,8.12978003481235,2.65534247007444
105,0.119114506552654,0.00591930277702906,5.64739448135376,3.29874590894206
110,0.118877136240912,0.00449903760880682,3.77618103774733,2.96392933595944
115,0.119277714628354,0.0033379986653542,2.93333002274435,2.44781425590837
120,0.117251087097131,0.00210970582094477,0.967147441023027,2.13089233477539
125,0.11455143170894,0.00114230182746343,1.25242218748194,1.61022485175819
130,0.110966286924063,0.00137334499208043,2.43830718447469,1.02267186274519
135,0.109032028786991,0.00259217097559635,3.20932594609431,1.30885712426899
140,0.110633859984152,0.00342493406094697,3.30715737345162,1.64047893255759
145,0.115816756071008,0.00423358365929282,0.824762822907422,2.23998491629784
150,0.121479515677333,0.00596964978845069,-1.30743303333497,1.10186759828651
155,0.127095921498546,0.00492728545920046,-0.417193301170282,2.27059169326546
160,0.131268142698171,0.00471963748184384,0.821393762322995,2.29677294039928
165,0.13156462801433,0.00566573535496678,-1.85592196437391,1.63996528625499
166,0.134572515618869,0.0063292113682726,-2.60877356481324,1.24092822815189
167,0.140021467312958,0.00760315769215339,-1.70762199028005,0.845054561989779
168,0.14230244616379,0.00769342979085699,-3.7504187335384,1.91392857403865
169,0.139847906820871,0.0137846716553694,-5.61021668244774,1.87243168951104
