Angle (degrees),Phase Function (normalized to 1 at 30 deg),Phase Function SEM,DOLP (%),DOLP SEM (%)
20,2.73146495589497,0.0458456205691909,-3.20692552177465,0.330798648824533
25,1.55071789623825,0.0282023044386056,-3.01236608000313,0.357180317353118
30,1,0,-3.69821034369469,0.492115460861208
35,0.697852405328385,0.00673600080914556,-1.99857377671649,0.213331165786387
40,0.507121417738074,0.0092504312625972,-0.881542439781919,0.549274903314768
45,0.37417488797644,0.00436406233019414,1.47931185485388,1.06057209148849
50,0.294568479139736,0.0109135473643658,2.36235625433139,1.16672388169
55,0.240799147446551,0.00996422106394369,3.65755668005674,0.693918434602486
60,0.19648487180871,0.00402760235862499,4.84780035121904,1.17683312683363
65,0.162544422753362,0.00395379081097949,5.30784386850924,1.62416697656472
70,0.138989367066032,0.00385298742646623,6.58192237675784,2.08105656813593
75,0.119374356301678,0.00395423036153535,6.82638884671851,2.36589088392743
80,0.104344994670547,0.00454125570181212,8.5392269442224,1.93783037939703
85,0.0929147840340229,0.00469199225738731,10.256510466598,1.01078137191887
90,0.0836103843094875,0.00509155300302595,11.5519639563256,1.8111146445632
95,0.0724110378729464,0.00452713478275442,11.5849827260063,1.00980100845223
100,0.065860554092844,0.00545416523430668,14.2822744316935,2.08143683579466
105,0.0571558970854643,0.00430263100202294,15.2240983176578,2.7756381531592
110,0.0510290386195738,0.00392112656879157,16.5077205904237,2.10112226020519
115,0.0475107349274832,0.00395349055464727,16.851824903246,3.11468361144546
120,0.0444652269298727,0.00311227783691067,15.53779946344,3.97050170155307
125,0.0427665236402378,0.00381675102777246,12.3825254716904,2.99544296445264
130,0.0412237099739118,0.00432976674531349,8.98660569381206,2.07133331426908
135,0.0405298244336923,0.00578798507832372,6.34622271915691,0.44755754956107
140,0.0411609955328364,0.00535418989440968,0.819503472866334,1.78325739497267
145,0.044606251203144,0.00575216392380579,-2.52192206909025,1.67006444873308
150,0.0506750200066145,0.00555413081834366,-5.01087780042648,2.19099948743801
155,0.0592636234053097,0.00636649625867078,-7.99703665274874,1.24643446332123
160,0.0683270217928788,0.00767003038061125,-9.01152482802516,0.333840773166325
165,0.0822615241655393,0.00865117906339531,-7.25190535005385,0.858419712156167
166,0.0886826361036138,0.00975787871890582,-6.40617628857457,1.42538581063047
167,0.0990566999679466,0.0108722432027106,-5.96110193239032,2.65804688617417
168,0.101406811479723,0.0145286758714437,-4.92159743157809,0.945066979386386
169,0.093646003499165,0.0149145585136973,-4.89901573989454,1.48149895212901
