Radius (um),Small KCl (cm-3),Medium KCl (cm-3),Large KCl (cm-3)
0.1685,0.001728796,103.217633333333,85.0128866666667
0.20975,0.001097063,32.3205,42.4243633333333
0.261,0.00107489,32.8819666666667,49.1753033333333
0.325,0.001079265,24.0992666666667,37.31779
0.4045,0,27.8723666666667,50.2171366666667
0.5035,103.14953,46.4667333333333,106.882633333333
0.627,29.204689,27.5889,60.0325803333333
0.78075,18.093624,36.0370666666667,95.7880333333333
0.972,7.7220466,62.4186,265.042333333333
1.21025,0.448343992,39.7671666666667,297.658
1.507,0.019390211,17.1912666666667,224.671666666667
1.87625,0.006329116,6.03148333333333,152.701666666667
2.336,0.004141693,1.60994666666667,87.7602333333333
2.90825,0.002620927,0.284657333333333,37.0351
3.62075,0.004130875,0.0391787666666667,14.3087333333333
4.508,0.004782536,0.00515452,3.52770333333333
